Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning,Director,Actor
43,Star Trek Beyond,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",122,Action,7,68,238059,158.8,Justin Lin,Chris Pine
46,13 Hours,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",144,Action,7.3,48,130751,52.85,Michael Bay,John Krasinski
49,The Huntsman: Winter's War,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",114,Action,6.1,35,104681,48.39,Cedric Nicolas-Troyan,Chris Hemsworth
51,Central Intelligence,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",107,Action,6.3,52,171579,127.4,Rawson Marshall Thurber,Dwayne Johnson
55,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",110,Action,6.2,44,170817,126.6,David Yates,Alexander Skarsgård
58,Independence Day: Resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",120,Action,5.2,32,173625,103.1,Roland Emmerich,Liam Hemsworth
59,Allied,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",124,Action,7.1,60,149983,40.1,Robert Zemeckis,Brad Pitt
60,The Bad Batch,"In a desert dystopia, a young woman is kidnapped by cannibals.",118,Action,5.3,62,29342,0.18,Ana Lily Amirpour,Suki Waterhouse
69,Now You See Me 2,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",129,Action,6.5,46,268386,65.08,Jon M. Chu,Jesse Eisenberg
70,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,161,Action,8.4,NA,173499,12.39,Nitesh Tiwari,Aamir Khan
72,Jack Reacher: Never Go Back,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,118,Action,6.1,47,147458,58.7,Edward Zwick,Tom Cruise
74,Assassin's Creed,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",115,Action,5.7,36,193154,54.65,Justin Kurzel,Michael Fassbender
76,The Shallows,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",86,Action,6.3,59,127278,55.12,Jaume Collet-Serra,Blake Lively
80,Allegiant,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",120,Action,5.7,33,115884,66.18,Robert Schwentke,Shailene Woodley
83,Colossal,"Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",109,Action,6.2,70,62516,3.02,Nacho Vigalondo,Anne Hathaway
84,Resident Evil: The Final Chapter,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",107,Action,5.5,49,89222,26.83,Paul W.S. Anderson,Milla Jovovich
86,Criminal,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",113,Action,6.3,36,63540,14.27,Ariel Vromen,Kevin Costner
88,Underworld: Blood Wars,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,91,Action,5.8,23,73406,30.35,Anna Foerster,Kate Beckinsale
89,Pride and Prejudice and Zombies,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,108,Action,5.8,45,54427,10.91,Burr Steers,Lily James
91,Triple 9,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,115,Action,6.3,52,70334,12.63,John Hillcoat,Casey Affleck
97,Nerve,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",96,Action,6.5,58,123326,38.58,Henry Joost,Emma Roberts
98,The 5th Wave,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.",112,Action,5.2,33,105226,34.92,J Blakeson,Chloë Grace Moretz
9,Fantastic Beasts and Where to Find Them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,132,Adventure,7.3,66,431838,234,David Yates,Eddie Redmayne
53,Miss Peregrine's Home for Peculiar Children,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",127,Adventure,6.7,57,164397,87.24,Tim Burton,Eva Green
65,Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,101,Adventure,7.9,81,121852,5.2,Taika Waititi,Sam Neill
71,The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",106,Adventure,7.4,77,268526,364,Jon Favreau,Neel Sethi
